module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Cinematic Production Module,_meta,,,,,,,,,false,,
Cinematic Production Module,cpm-orchestrator,Project Orientation,OR,Orient to the current project position and determine the next steps.,orientation,,anytime,,,false,,Project orientation and next-step guidance
Cinematic Production Module,cpm-orchestrator,Methodology Diagram,MD,Generate the static Excalidraw diagram of the CPM Cinematics-as-Code methodology.,methodology_diagram,,anytime,,,false,Diagrams/,Methodology .excalidraw diagram
Cinematic Production Module,cpm-orchestrator,Production Diagram,PD,Generate and maintain the living Excalidraw diagram of the current production state.,production_diagram,,anytime,,,false,Diagrams/,Diagrams/production-flow.excalidraw
Cinematic Production Module,cpm-orchestrator,Production Status Report,PS,"Summarize production progress — scenes, shards, and what to do next — from the Slate.",status_report,,anytime,,,false,.cpm/,Production status report
Cinematic Production Module,cpm-orchestrator,Route to Agent or Workflow,RT,Read project state and hand off to the right specialist agent or workflow.,route,,anytime,,,false,,Routing decision with rationale
Cinematic Production Module,cpm-showrunner,Scene Review,SR,"Review a scene for thematic alignment and break it into atomic beats, producing Showrunner Notes.",scene-review,{scene: scene identifier},anytime,,,false,Production/Scenes/Scene_{XX}/,Showrunner Notes with atomic beat breakdown
Cinematic Production Module,cpm-showrunner,Beat Definition,BD,"Extract and sharpen the pre-authored beat for the current shard, producing its Showrunner Notes.",beat-definition,{shard: shard number},anytime,,,false,Production/Scenes/Scene_{XX}/,Current beat Showrunner Notes
Cinematic Production Module,cpm-showrunner,Contract Management,CT,"Track narrative contracts through the Plant, Maintain, and Payoff lifecycle.",contract-management,{type: Plant|Maintain|Payoff},anytime,,,false,Production/Contracts/,Narrative contract records and status
Cinematic Production Module,cpm-showrunner,Show Bible Consultation,BC,"Answer story, character, and world questions from canonical Show Bible content.",show-bible-consultation,{question: user query},anytime,,,false,,Canonical answer grounded in the Show Bible
Cinematic Production Module,cpm-cinematographer,Beat Visual Specs,BV,"Architect the full visual specification for one beat — lighting, lens, color, and composition.",beat-visual-specs,{beat: showrunner notes}|{project: project path},anytime,,,false,Production/Scenes/Scene_{XX}/state/,Cinematographer Specs (visual architecture)
Cinematic Production Module,cpm-cinematographer,Style Guide Consultation,GC,Answer a visual-language question with the canonical Style Guide rule and its rationale.,style-guide-consultation,{topic: visual-language question},anytime,,,false,Architecture/,Style Guide rule with rationale
Cinematic Production Module,cpm-cinematographer,Vocabulary Audit,VA,Scan a draft prompt for banned words and missing required terms.,vocabulary-audit,{prompt: draft prompt text or path},anytime,,,false,,Vocabulary audit report
Cinematic Production Module,cpm-script-supervisor,Shard State Validation,SV,"Validate shard continuity, inject missing character state, define the handshake, and halt on failure.",validate,{-project_path: project root}|{shard_number: target shard},anytime,,,false,.cpm/,"Continuity status (PASS/INJECT/FAIL), injected state, and handshake definition"
Cinematic Production Module,cpm-script-supervisor,Handshake Review,HR,Verify the prior shard entry contract was honored by the current shard.,review,{-project_path: project root}|{shard_number: target shard},anytime,,,false,Production/Slate.md,Handshake verification report (honored or violated)
Cinematic Production Module,cpm-script-supervisor,Character State Update,CU,Update a character file with new mutable state and append a version-history row.,update,{character_name: character}|{new_state: state description}|{scene_number: scene},anytime,,,false,Bible/Characters/,Updated character file with version-history row
Cinematic Production Module,cpm-prompt-engineer,Prompt Compilation,PC,"Synthesize the Showrunner, Cinematographer, and Script Supervisor outputs into a final AI video prompt.",compile,,anytime,,,false,Output/Prompts/,Compiled prompt with Build Notes
Cinematic Production Module,cpm-prompt-engineer,Prompt Audit,PA,"Audit an existing draft prompt for anchoring, vocabulary, exit hooks, and injections.",audit,{prompt: draft prompt},anytime,,,false,,Compliance report (PASS or FAIL) with fixes
Cinematic Production Module,cpm-prompt-engineer,Variable Interval Compilation,VI,"Compile a prompt for a 5s, 15s, or 30s shard with scaled choreography.",scale,{duration: 5s|15s|30s},anytime,,,false,Output/Prompts/,Scaled compiled prompt with Build Notes
Cinematic Production Module,cpm-inception,Create Foundation,INC,"Run a vision interview and scaffold a new project with draft Show Bible, Style Guide, and characters.",create,,anytime,,,false,.cpm/,"Project scaffold, draft Show Bible, draft Style Guide, draft characters, methodology diagram"
Cinematic Production Module,cpm-inception,Update Foundation,INU,Extend existing inception drafts with deeper conversation or add missed phases.,update,,anytime,cpm-inception:create,,false,.cpm/,Updated draft artifacts and memlog entries
Cinematic Production Module,cpm-inception,Validate Foundation,INV,"Grade foundation readiness — artifact presence, draft honesty, and structural validity.",validate,,anytime,cpm-inception:create,,false,,Readiness verdict (READY or ON HOLD) with per-artifact report
Cinematic Production Module,cpm-new-project,Create Production Project,NPC,"Scaffold a new CPM production project — directory tree, config, manifest, slate, and methodology diagram.",create,{project_name: film or series name}|{model_target: e.g. sora/kling/runway/pika}|{shard_duration: 5/15/30}|{-location: custom path},anytime,,,false,.cpm/,"New project tree with .cpm/config.yaml, manifest, Slate, and methodology diagram"
Cinematic Production Module,cpm-new-project,Update Project Configuration,NPU,Repair missing scaffolding or reconfigure project settings without touching creative content.,update,{project_path: project root}|{-overwrite: config|manifest|slate|methodology},anytime,cpm-new-project:create,,false,.cpm/,Updated scaffolding files and created missing directories
Cinematic Production Module,cpm-new-project,Validate Project Structure,NPV,Check that an existing project is structurally complete and production-ready.,validate,{project_path: project root},anytime,cpm-new-project:create,,false,,Validation report (pass or hold) with blocking issues
Cinematic Production Module,cpm-show-bible,Create Show Bible,SBC,"Author a new Show Bible — logline, pillars, world rules, arcs, and motifs — via filmmaker dialogue.",create,,anytime,,,false,Bible/Show_Bible.md,Show_Bible.md with all narrative-DNA sections
Cinematic Production Module,cpm-show-bible,Update Show Bible,SBU,"Revise sections of an existing Show Bible, surfacing conflicts with prior decisions first.",update,,anytime,cpm-show-bible:create,,false,Bible/Show_Bible.md,Updated Show_Bible.md and memlog entries
Cinematic Production Module,cpm-show-bible,Validate Show Bible,SBV,Grade an existing Show Bible against the contract for completeness and substance.,validate,,anytime,cpm-show-bible:create,,false,,"Validation verdict (PASS, HOLD with gaps, or NO BIBLE)"
Cinematic Production Module,cpm-style-guide,Create Style Guide,SGC,Define a production visual language and write the four architecture files.,create,,anytime,,,false,Architecture/,"Style_Guide.md, Palette.md, Lens_Language.md, Vocabulary.md"
Cinematic Production Module,cpm-style-guide,Update Style Guide,SGU,"Revise or extend an existing style guide, surfacing conflicts and applying changes across files.",update,,anytime,cpm-style-guide:create,,false,Architecture/,Updated architecture files and memlog entries
Cinematic Production Module,cpm-style-guide,Validate Style Guide,SGV,"Grade a style guide for completeness, exact hex codes, and banned/required word lists.",validate,,anytime,cpm-style-guide:create,,false,,Validation report (PASS or HOLD) with gaps
Cinematic Production Module,cpm-character-create,Create Character,CHC,Create a new character with a full visual-identity interview capturing immutable LEFT/RIGHT features.,create,,anytime,,,false,Bible/Characters/,"Character file, roster entry, and decision trail"
Cinematic Production Module,cpm-character-create,Update Character,CHU,Update an existing character with mutable state changes and append a version-history row.,update,,anytime,cpm-character-create:create,,false,Bible/Characters/,Updated character file with version-history row
Cinematic Production Module,cpm-character-create,Validate Character,CHV,Grade a character file against the contract and confirm continuity-ready status.,validate,,anytime,cpm-character-create:create,,false,,Validation report (pass or hold)
Cinematic Production Module,cpm-scene-create,Create Scene Brief,SCC,"Author a new scene brief with filmmaker-directed beats, setting, characters, and purpose.",create,,anytime,,,false,Production/Scenes/Scene_{XX}/,"scene-brief.md, entry contract, manifest registration, and Slate update"
Cinematic Production Module,cpm-scene-create,Update Scene Brief,SCU,"Revise an existing scene brief — setting, characters, beats, durations, or narrative.",update,,anytime,cpm-scene-create:create,,false,Production/Scenes/Scene_{XX}/,"Updated scene-brief.md, manifest and Slate updates"
Cinematic Production Module,cpm-scene-create,Validate Scene Brief,SCV,"Grade a scene brief for structural completeness, beat specificity, and production readiness.",validate,,anytime,cpm-scene-create:create,,false,,"Validation report (PASS, PASS WITH WARNINGS, or HOLD)"
Cinematic Production Module,cpm-shard-generation,Generate Shard,SHG,Run the Four-Agent Ritual to generate one continuity-safe AI video prompt and exit state for a beat.,generate,{beat: target beat integer},anytime,cpm-scene-create:create,,false,Output/Prompts/,"Shard prompt, exit state, and manifest and Slate updates"
Cinematic Production Module,cpm-shard-generation,Regenerate Shard,SHR,Re-run the ritual to overwrite an already-generated beat prompt and exit state.,regenerate,{beat: beat integer (required)},anytime,cpm-shard-generation:generate,,false,Output/Prompts/,Overwritten shard prompt and exit state; downstream shards invalidated
Cinematic Production Module,cpm-shard-generation,Validate Shard,SHV,Grade an already-generated shard for continuity safety and structural completeness.,validate,{beat: beat integer (required)},anytime,cpm-shard-generation:generate,,false,,"Validation report (PASS, PASS WITH WARNINGS, or HOLD)"
Cinematic Production Module,cpm-handshake-test,Handshake Test Run,HTT,Grade one shard boundary on five continuity criteria plus the MUST-NOT-Show floor.,test,{scene: zero-padded scene number}|{shard: shard A number},anytime,cpm-shard-generation:generate,,false,Production/Validation/,Single-boundary test report (PASS or FAIL)
Cinematic Production Module,cpm-handshake-test,Validation Suite,HTV,Chain handshake tests across a scene for the three-consecutive-pass verdict.,validate,{scene: zero-padded scene number},anytime,cpm-shard-generation:generate,,false,Production/Validation/,Scene validation report (VALIDATED or NOT VALIDATED)
